number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V15,params_V18,params_V3,params_V6,params_V9,system_attrs_fixed_params,state
0,1.0,2026-07-08 12:15:29.900492,2026-07-08 12:15:37.157888,0 days 00:00:07.257396,250.0,250.0,-500.0,0.0,0.0,0.0,0.0,500.0,"{'V3': 0.0, 'V6': 0.0, 'V9': 500.0, 'V10': 250.0, 'V11': 250.0, 'V12': -500.0, 'V15': 0.0, 'V18': 0.0}",COMPLETE
1,0.0,2026-07-08 12:15:37.207200,2026-07-08 12:15:44.068005,0 days 00:00:06.860805,731.6086669804231,978.8130270535482,-153.0748694940056,-108.01409021628695,-389.0726128255737,-294.51244143677184,-36.908981167144816,302.3854565372883,,COMPLETE
2,0.0,2026-07-08 12:15:44.102953,2026-07-08 12:15:50.614220,0 days 00:00:06.511267,173.3966361080502,779.4808415696223,452.5685468985878,490.6324487243696,-87.66905974087047,-37.167293260868746,-427.06422756187067,891.9804222666398,,COMPLETE
3,0.0,2026-07-08 12:15:50.643229,2026-07-08 12:15:57.321256,0 days 00:00:06.678027,-200.36697517723053,-716.6311514898211,620.3107734858395,231.25393293984803,74.06441582882132,190.91505575436884,152.72735832461512,-269.96939967756293,,COMPLETE
4,0.0,2026-07-08 12:15:57.346515,2026-07-08 12:16:03.904896,0 days 00:00:06.558381,-194.58931965424165,604.8316010950227,15.946234501887034,365.13219998901025,463.7747668628906,176.14299435864177,23.006461634477432,-711.9640144701826,,COMPLETE
5,0.0,2026-07-08 12:16:04.038791,2026-07-08 12:16:10.498962,0 days 00:00:06.460171,867.8205787673362,-762.8799211819921,-946.6624254022773,-332.42512914835083,139.73654384977817,239.39536995735864,-460.0145456491227,113.60383554338,,COMPLETE
6,0.0,2026-07-08 12:16:10.524770,2026-07-08 12:16:16.652041,0 days 00:00:06.127271,694.1990530711316,-390.06377782690004,47.58660029839484,-40.63596853223538,-61.23247844708402,50.76811022563936,466.14582356712776,886.6587785066743,,COMPLETE
7,0.0,2026-07-08 12:16:16.672107,2026-07-08 12:16:22.370522,0 days 00:00:05.698415,489.31198803441157,-441.84842003473125,-254.93239356814956,481.4593461001007,70.15333844379757,-31.64127043766763,-242.18455506726502,-292.9465143548762,,COMPLETE
8,0.0,2026-07-08 12:16:22.397849,2026-07-08 12:16:28.048784,0 days 00:00:05.650935,72.70918964556131,-698.5589927447681,-6.618921801767101,-462.12149414556137,254.85959190530275,105.2900052536861,-208.9391427096926,10.245086629697653,,COMPLETE
9,0.0,2026-07-08 12:16:28.076221,2026-07-08 12:16:33.837887,0 days 00:00:05.761666,-468.2936723484023,-206.92144073656516,-689.5454665397624,-390.1174292864953,-289.7081312052594,-249.92392964873278,-121.14861542428645,-369.9498694690044,,COMPLETE
10,0.0,2026-07-08 12:16:33.867744,2026-07-08 12:16:39.553784,0 days 00:00:05.686040,-952.3138914159331,231.90219006147487,918.7177871523841,80.76800333320152,-490.45403454328704,473.2377111643373,324.1520315909096,-983.2761945034897,,COMPLETE
11,0.0,2026-07-08 12:16:39.684886,2026-07-08 12:16:45.668297,0 days 00:00:05.983411,431.94061658585804,239.04848742761007,-414.83239414659727,-97.01611785522599,-355.5395374928477,-488.74584149800546,59.379768903737045,454.7388293829169,,COMPLETE
12,0.0,2026-07-08 12:16:45.694770,2026-07-08 12:16:52.620878,0 days 00:00:06.926108,897.9131607882535,989.9499530089992,-609.7495939318982,-194.2948311821192,-178.40299275375918,-253.69953445067122,211.20477468478686,436.50478865621415,,COMPLETE
13,0.0,2026-07-08 12:16:52.666015,2026-07-08 12:16:59.061362,0 days 00:00:06.395347,356.31809798395125,281.9426499028042,-242.38074497870383,94.75896267968912,344.6185719810771,-240.5032361277402,-77.5503394883246,477.7564327347211,,COMPLETE
14,0.0,2026-07-08 12:16:59.098661,2026-07-08 12:17:05.531686,0 days 00:00:06.433025,659.9785679295841,537.3831163011928,-992.5583243901328,-235.78332587649749,-487.23395423545423,-425.1464520701266,-276.1587451921356,246.22958447877903,,COMPLETE
